Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Period,Num_Ind,Ratio_Ind_Avail,Prop_Ind_Avail,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Scat_n_Tot,Scat_n_Prey,Abs_FO,Rel_FO,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Livestock_Wild,Defense,Prey_Notes,Avg_Wolf_Density,Pack_Name,n_Packs,Timepoint,A_C_Code,Avail_Code,Avail_Season,n_Avail_Points,Cons_Code,Cons_Season,n_Cons_Points,Study_Code,Area_Code,n_Prey_Species,Wild_Ung_Avail_n,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n,Pop_Scale
,Jethva 2004,Bhal area,2590,Cattle,Bos taurus,Bos taurus,Jan 1996-Dec 2000,328,,,,,,613,,,,,,,,,,Livestock,Guard,"Revered by owners due to religious sentiments, very rarely slaughted, kept only for milk. Lack of slughter means there is a large cohort of old, unproductive cattle. This cohort is prone to dying in the hot Indian summers, carcasses dumped at the outskirts of villages. Seasonally nomadic - graze in Bhal during monsoon season and early winter, migrate out of Bhal in late winter (~Jan-feb?) and summer (March-June). Taken to graze during the day and rarely left unattended, return to village in the evening",,Narmad Pack,1,,,,,,,MYR,5,JEA04BHA,BHA,2,4,,,,
,Klich 2021,Vitebsk,NR,Wild boar,Sus scrofa,Sus scrofa,2010-2013,,,,1.01,,,84.5,,,53,,,,,,0.284,Wild,Tusk,,,,,,,TS,MWI,2,HOME,MYR,4,KLH21VIT,VIT,5,4,UK,UK,UK,POP
,Klich 2021,Vitebsk,NR,Elk,Alces alces,Alces alces,2010-2013,,,,0.475,,,481,,,53,,,,,,0.356,Wild,Antler,,,,,,,TS,MWI,2,HOME,MYR,4,KLH21VIT,VIT,5,4,UK,UK,UK,POP
,Klich 2021,Vitebsk,NR,Red deer,Cervus elaphus,Cervus elaphus,2010-2013,,,,0,,,240,,,53,,,,,,0.011,Wild,Antler,"""show various behavioral adaptations to the presence of wolves, including increased vigilance and aggressive behavior towards predators""",,,,,,TS,MWI,2,HOME,MYR,4,KLH21VIT,VIT,5,4,UK,UK,UK,POP
,Klich 2021,Vitebsk,NR,Roe deer,Capreolus capreolus,Capreolus capreolus,2010-2013,,,,0.375,,,22.4,,,53,,,,,,0.116,Wild,None,,,,,,,TS,MWI,2,HOME,MYR,4,KLH21VIT,VIT,5,4,UK,UK,UK,POP
,Klich 2021,Vitebsk,NR,Beaver,Not given,Castor fiber,2010-2013,,,,1.2675,,,19,,,53,,,,,,0.174,Wild,Refuge,"Spend more time on land in the spring and autumn, making them more vulnerable to predation during these times. "" Beavers can be attractive prey for lone wolves or small packs, because they are an easier food source compared to ungulates [62,63].""",,,,,,GOV,U,4,HOME,MYR,4,KLH21VIT,VIT,5,4,UK,UK,UK,POP
,Klich 2021,Vitebsk,NR,Wild boar,Sus scrofa,Sus scrofa,2017-2019,,,,0.02,,,84.5,,,33,,,,,,0.059,Wild,Tusk,,,,,,,TS,SWI,1,HOME,MYR,3,KLH21VIT,VIT,5,4,,,,POP
,Klich 2021,Vitebsk,NR,Elk,Alces alces,Alces alces,2017-2019,,,,0.5,,,481,,,33,,,,,,0.347,Wild,Antler,,,,,,,TS,SWI,1,HOME,MYR,3,KLH21VIT,VIT,5,4,,,,POP
,Klich 2021,Vitebsk,NR,Red deer,Cervus elaphus,Cervus elaphus,2017-2019,,,,0,,,240,,,33,,,,,,0.142,Wild,Antler,"""show various behavioral adaptations to the presence of wolves, including increased vigilance and aggressive behavior towards predators""",,,,,,TS,SWI,1,HOME,MYR,3,KLH21VIT,VIT,5,4,,,,POP
,Klich 2021,Vitebsk,NR,Roe deer,Capreolus capreolus,Capreolus capreolus,2017-2019,,,,0.39,,,22.4,,,33,,,,,,0.242,Wild,None,,,,,,,TS,SWI,1,HOME,MYR,3,KLH21VIT,VIT,5,4,,,,POP
,Klich 2021,Vitebsk,NR,Beaver,Not given,Castor fiber,2017-2019,,,,0.9966666667,,,19,,,33,,,,,,0.154,Wild,Refuge,"Spend more time on land in the spring and autumn, making them more vulnerable to predation during these times. "" Beavers can be attractive prey for lone wolves or small packs, because they are an easier food source compared to ungulates [62,63].""",,,,,,GOV,U,3,HOME,MYR,3,KLH21VIT,VIT,5,4,,,,POP
,Klich 2021,Grodno,NR,Wild boar,Sus scrofa,Sus scrofa,2010-2013,,,,2.71,,,84.5,,,46,,,,,,0.103,Wild,Tusk,,,,,,,TS,SWI,1,HOME,MYR,4,KLH21GRO,GRO,5,4,UK,UK,UK,POP
,Klich 2021,Grodno,NR,Elk,Alces alces,Alces alces,2010-2013,,,,0.32,,,481,,,46,,,,,,0.119,Wild,Antler,,,,,,,TS,SWI,1,HOME,MYR,4,KLH21GRO,GRO,5,4,UK,UK,UK,POP
,Klich 2021,Grodno,NR,Red deer,Cervus elaphus,Cervus elaphus,2010-2013,,,,0.54,,,240,,,46,,,,,,0.27,Wild,Antler,"""show various behavioral adaptations to the presence of wolves, including increased vigilance and aggressive behavior towards predators""",,,,,,TS,SWI,1,HOME,MYR,4,KLH21GRO,GRO,5,4,UK,UK,UK,POP
,Klich 2021,Grodno,NR,Roe deer,Capreolus capreolus,Capreolus capreolus,2010-2013,,,,2.83,,,22.4,,,46,,,,,,0.229,Wild,None,,,,,,,TS,SWI,1,HOME,MYR,4,KLH21GRO,GRO,5,4,UK,UK,UK,POP
,Klich 2021,Grodno,NR,Beaver,Not given,Castor fiber,2010-2013,,,,0.795,,,19,,,46,,,,,,0.194,Wild,Refuge,"Spend more time on land in the spring and autumn, making them more vulnerable to predation during these times. "" Beavers can be attractive prey for lone wolves or small packs, because they are an easier food source compared to ungulates [62,63].""",,,,,,GOV,U,4,HOME,MYR,4,KLH21GRO,GRO,5,4,UK,UK,UK,POP
,Klich 2021,Grodno,NR,Wild boar,Sus scrofa,Sus scrofa,2017-2020,,,,0.09,,,84.5,,,43,,,,,,0.074,Wild,Tusk,,,,,,,TS,MWI,2,HOME,MYR,4,KLH21GRO,GRO,5,4,,,,POP
,Klich 2021,Grodno,NR,Elk,Alces alces,Alces alces,2017-2020,,,,0.43,,,481,,,43,,,,,,0.174,Wild,Antler,,,,,,,TS,MWI,2,HOME,MYR,4,KLH21GRO,GRO,5,4,,,,POP
,Klich 2021,Grodno,NR,Red deer,Cervus elaphus,Cervus elaphus,2017-2020,,,,0.69,,,240,,,43,,,,,,0.327,Wild,Antler,"""show various behavioral adaptations to the presence of wolves, including increased vigilance and aggressive behavior towards predators""",,,,,,TS,MWI,2,HOME,MYR,4,KLH21GRO,GRO,5,4,,,,POP
,Klich 2021,Grodno,NR,Roe deer,Capreolus capreolus,Capreolus capreolus,2017-2020,,,,3.04,,,22.4,,,43,,,,,,0.188,Wild,None,,,,,,,TS,MWI,2,HOME,MYR,4,KLH21GRO,GRO,5,4,,,,POP
,Klich 2021,Grodno,NR,Beaver,Not given,Castor fiber,2017-2020,,,,0.7766666667,,,19,,,43,,,,,,0.2,Wild,Refuge,"Spend more time on land in the spring and autumn, making them more vulnerable to predation during these times. "" Beavers can be attractive prey for lone wolves or small packs, because they are an easier food source compared to ungulates [62,63].""",,,,,,GOV,U,3,HOME,MYR,4,KLH21GRO,GRO,5,4,,,,POP
,Klich 2021,Vitebsk,NR,Wild boar,Sus scrofa,Sus scrofa,2011,,,,0.83,,,84.5,,,13,,,,,,0.312073,Wild,Tusk,,,,,,,TS,SWI,1,HOME,SYR,1,KLH21VIT,VIT,3,4,,,,POP
,Klich 2021,Vitebsk,NR,Red deer,Cervus elaphus,Cervus elaphus,2011,,,,0,,,240,,,13,,,,,,0,Wild,Antler,,,,,,,TS,SWI,1,HOME,SYR,1,KLH21VIT,VIT,3,4,,,,POP
,Klich 2021,Vitebsk,NR,Roe deer,Capreolus capreolus,Capreolus capreolus,2011,,,,0.34,,,22.4,,,13,,,,,,0.0420455,Wild,None,"""show various behavioral adaptations to the presence of wolves, including increased vigilance and aggressive behavior towards predators""",,,,,,TS,SWI,1,HOME,SYR,1,KLH21VIT,VIT,3,4,,,,POP
,Klich 2021,Vitebsk,NR,Wild boar,Sus scrofa,Sus scrofa,2013,,,,1.19,,,84.5,,,15,,,,,,0.194761,Wild,Tusk,,,,,,,TS,SWI,1,HOME,SYR,1,KLH21VIT,VIT,3,4,,,,POP
,Klich 2021,Vitebsk,NR,Red deer,Cervus elaphus,Cervus elaphus,2013,,,,0,,,240,,,15,,,,,,0,Wild,Antler,,,,,,,TS,SWI,1,HOME,SYR,1,KLH21VIT,VIT,3,4,,,,POP
,Klich 2021,Vitebsk,NR,Roe deer,Capreolus capreolus,Capreolus capreolus,2013,,,,0.41,,,22.4,,,15,,,,,,0.189773,Wild,None,"""show various behavioral adaptations to the presence of wolves, including increased vigilance and aggressive behavior towards predators""",,,,,,TS,SWI,1,HOME,SYR,1,KLH21VIT,VIT,3,4,,,,POP
,Klich 2021,Vitebsk,NR,Wild boar,Sus scrofa,Sus scrofa,2015,,,,0.27,,,84.5,,,10,,,,,,0.0273349,Wild,Tusk,,,,,,,TS,SWI,1,HOME,SYR,1,KLH21VIT,VIT,3,4,,,,POP
,Klich 2021,Vitebsk,NR,Red deer,Cervus elaphus,Cervus elaphus,2015,,,,0,,,240,,,10,,,,,,0.204082,Wild,Antler,,,,,,,TS,SWI,1,HOME,SYR,1,KLH21VIT,VIT,3,4,,,,POP
,Klich 2021,Vitebsk,NR,Roe deer,Capreolus capreolus,Capreolus capreolus,2015,,,,0.34,,,22.4,,,10,,,,,,0.167045,Wild,None,"""show various behavioral adaptations to the presence of wolves, including increased vigilance and aggressive behavior towards predators""",,,,,,TS,SWI,1,HOME,SYR,1,KLH21VIT,VIT,3,4,,,,POP
,Klich 2021,Vitebsk,NR,Wild boar,Sus scrofa,Sus scrofa,2017,,,,0.02,,,84.5,,,11,,,,,,0.161731,Wild,Tusk,,,,,,,TS,SWI,1,HOME,SYR,1,KLH21VIT,VIT,3,4,,,,POP
,Klich 2021,Vitebsk,NR,Red deer,Cervus elaphus,Cervus elaphus,2017,,,,0,,,240,,,11,,,,,,0,Wild,Antler,,,,,,,TS,SWI,1,HOME,SYR,1,KLH21VIT,VIT,3,4,,,,POP
,Klich 2021,Vitebsk,NR,Roe deer,Capreolus capreolus,Capreolus capreolus,2017,,,,0.39,,,22.4,,,11,,,,,,0.219318,Wild,None,"""show various behavioral adaptations to the presence of wolves, including increased vigilance and aggressive behavior towards predators""",,,,,,TS,SWI,1,HOME,SYR,1,KLH21VIT,VIT,3,4,,,,POP
not available in 2 of the 3 territories from Jan-March. Scat data for April not reported by paper due to low sample size. ,Kojola 2004,Kainuu,8000,Forest reindeer,Rangifer tarandus fennicus,Rangifer tarandus fennicus,1998-2000 (year-round except Aprils),1600,,,0.2,90,external source,108,,,443,,,,,,0.211,Wild,Antler,"Short april migration prior to calving dilutes the population = spacing tactic that likely decreases risk of predation. Aggregate into winter range from Jan-March. Terrain here does not allow for escape to higher elevations. In this SA they prefer mosaic of different habitat types . Better adapted (morphologically and behaviourally) to snow than other boreal ungulates as they have large dewclaws, foot loading 2.3 times smaller than moose. wolves usually fall behind when reindeer escape into deep snow, reindeer are faster than wolves on hard surfaes like lake ice (where reindeer comonly use to rest) (see discussion for sources). spatially sedentary during winter with a mean winter home range of 155km^2. Most vulnerable to wolves during autumn rut and early winter. ",,,,,P-2-2,AS,MWI,2,TRCK,MYR,2,KOA04KAI,KAI,2,2,2,1,1,POP
"Paper gives 2 moose density values: before hunting season= 375/1000km^2 , after hunting season= 250/1000km^2 (prehunting is sometime before october, post hunting is sometime after october). Presumably each value represents half the year cuz numbers cannot increase until calving in spring. The abstract says that the overall ratio is roughly 1 reindeer to 1.5 moose so we used 0.3 as density for moose. Scat data for April not reported by paper due to low sample size. ",Kojola 2004,Kainuu,8000,Moose,Alces alces,Alces alces,1998-2000 (year-round except Aprils),2400,,,0.3,200-225,"200kg for summer (may-sept) and 225kg for early winter (nov-dec). ""Mean masses of moose were calculated from the body mass of calves, yearlings, adult females and males in proportion to their prevalence among all moose killed by wolves""",481,,,443,,,,,,0.758,Wild,Antler,Pop declines 30% in autumn due to hunting (375/km^2 to 250/km^2). Less well adapted to snow than reindeer. Moose footloading is 2.3 times larger than than of reindeer,,,,,P-1-2,HH,SSUW,2,TRCK,MYR,2,KOA04KAI,KAI,2,2,2,1,1,POP
,Lagos 2018,Valley of the river Eume (VDE),302,Roe deer,Capreolus capreolus,Capreolus capreolus,2003-2006,,,,,,"average weights of adults (no source given, probably estimates)",22.4,2230,,293,41,0.1399317406,13.36,,,,Wild,None,,,,,,,SS,U,U,T,U,3,LAS18VRE,VRE,7,3,1,0,1,POP
,Lagos 2018,Valley of the river Eume (VDE),302,Wild boar,Sus scrofa,Sus scrofa,2003-2006,,,,,,"average weights of adults (no source given, probably estimates)",84.5,1040,,293,7,0.02389078498,2.28,,,,Wild,Tusk,,,,,,,SS,U,U,T,U,3,LAS18VRE,VRE,7,3,1,0,1,POP
,Lagos 2018,Valley of the river Eume (VDE),302,Red deer,Cervus elaphus,Cervus elaphus,2003-2006,,,,,,"average weights of adults (no source given, probably estimates)",240,,,293,1,0.003412969283,0.33,,,,Wild,Antler,,,,,,,SS,U,U,T,U,3,LAS18VRE,VRE,7,3,1,0,1,POP
This breed is on the smaller side (wikipedia says 135kg-300kg),Lagos 2018,Valley of the river Eume (VDE),302,Galician wild ponies,Equus ferus atlanticus,Equus caballus,2003-2006,448,,,1.483443709,300,"average weights of adults (no source given, probably estimates)",400,450,,293,114,0.3890784983,37.13,,,,Feral,None,feral,,,,,P-3-3,CNT,U,U,T,U,3,LAS18VRE,VRE,7,3,1,0,1,POP
Livestock carrion availability decreased in the last years of the study due to new regulation in the disposal of livestock carcasses,Lagos 2018,Valley of the river Eume (VDE),302,Cattle,Bos taurus,Bos taurus,2003-2006,28976,,,95.94701987,600,"average weights of adults (no source given, probably estimates)",613,57570,,293,60,0.204778157,19.54,,,,Livestock,,permanently in pastures,,,,,P-3-3,GSO,U,3,T,U,3,LAS18VRE,VRE,7,3,1,0,1,POP
sheep and goats lumped together. Livestock carrion availability decreased in the last years of the study due to new regulation in the disposal of livestock carcasses,Lagos 2018,Valley of the river Eume (VDE),302,Goats & sheep,Ovis aries + Capra hircus,Capra hircus & Ovis aries,2003-2006,7928,,,26.25165563,45,"average weights of adults (no source given, probably estimates)",40.55,1180,,293,33,0.1126279863,10.75,,,,Livestock,,,,,,,P-1-3,GSO,U,1,T,U,3,LAS18VRE,VRE,7,3,1,0,1,POP
,Lagos 2018,Centre of the Dorsal Galega (CDG),259,Roe deer,Capreolus capreolus,Capreolus capreolus,2003-2006,,,,,,"average weights of adults (no source given, probably estimates)",22.4,1490,,1063,71,0.06679209784,6.39,,,,Wild,None,,,,,,,SS,U,U,T,U,3,LAS18CDG,CDG,6,2,1,0,1,POP
,Lagos 2018,Centre of the Dorsal Galega (CDG),259,Wild boar,Sus scrofa,Sus scrofa,2003-2006,,,,,,"average weights of adults (no source given, probably estimates)",84.5,1650,,1063,23,0.02163687676,2.07,,,,Wild,Antler,,,,,,,SS,U,U,T,U,3,LAS18CDG,CDG,6,2,1,0,1,POP
This breed is on the smaller side (wikipedia says 135kg-300kg),Lagos 2018,Centre of the Dorsal Galega (CDG),259,Galician wild ponies,Equus ferus atlanticus,Equus caballus,2003-2006,215,,,0.8301158301,300,"average weights of adults (no source given, probably estimates)",400,250,,1063,377,0.3546566322,34.47,,,,Feral,None,feral,,,,,P-3-3,CNT,U,U,T,U,3,LAS18CDG,CDG,6,2,1,0,1,POP
Livestock carrion availability decreased in the last years of the study due to new regulation in the disposal of livestock carcasses,Lagos 2018,Centre of the Dorsal Galega (CDG),259,Cattle,Bos taurus,Bos taurus,2003-2006,43727,,,168.8301158,600,"average weights of adults (no source given, probably estimates)",613,101300,,1063,260,0.2445907808,23.4,,,,Livestock,,,,,,,P-3-3,GSO,U,3,T,U,3,LAS18CDG,CDG,6,2,1,0,1,POP
sheep and goats lumped together. Livestock carrion availability decreased in the last years of the study due to new regulation in the disposal of livestock carcasses,Lagos 2018,Centre of the Dorsal Galega (CDG),259,Goats & sheep,Ovis aries + Capra hircus,Capra hircus & Ovis aries,2003-2006,9761,,,37.68725869,45,"average weights of adults (no source given, probably estimates)",40.55,1700,,1063,89,0.08372530574,8.01,,,,Livestock,,,,,,,P-1-3,GSO,U,1,T,U,3,LAS18CDG,CDG,6,2,1,0,1,POP
,Lagos 2018,South of the Macizos Centrales of Ourense (SMC),247,Roe deer,Capreolus capreolus,Capreolus capreolus,2003-2006,,,,,,"average weights of adults (no source given, probably estimates)",22.4,5640,,1384,741,0.5354046243,49.04,,,,Wild,None,,,,,,U,SS,U,U,T,U,3,LAS18SMC,SMC,6,3,1,0,1,POP
,Lagos 2018,South of the Macizos Centrales of Ourense (SMC),247,Wild boar,Sus scrofa,Sus scrofa,2003-2006,,,,,,"average weights of adults (no source given, probably estimates)",84.5,5640,,1384,285,0.2059248555,18.86,,,,Wild,Tusk,,,,,,U,SS,U,U,T,U,3,LAS18SMC,SMC,6,3,1,0,1,POP
,Lagos 2018,South of the Macizos Centrales of Ourense (SMC),247,Red deer,Cervus elaphus,Cervus elaphus,2003-2006,,,,,,"average weights of adults (no source given, probably estimates)",240,,,1384,36,0.02601156069,2.38,,,,Wild,Antler,,,,,,U,SS,U,U,T,U,3,LAS18SMC,SMC,6,3,1,0,1,POP
Livestock carrion availability decreased in the last years of the study due to new regulation in the disposal of livestock carcasses,Lagos 2018,South of the Macizos Centrales of Ourense (SMC),247,Cattle,Bos taurus,Bos taurus,2003-2006,2504,,,10.13765182,600,"average weights of adults (no source given, probably estimates)",613,6080,,1384,10,0.007225433526,0.66,,,,Livestock,,,,,,,P-3-3,GSO,U,3,T,U,3,LAS18SMC,SMC,6,3,1,0,1,POP
sheep and goats lumped together. Livestock carrion availability decreased in the last years of the study due to new regulation in the disposal of livestock carcasses,Lagos 2018,South of the Macizos Centrales of Ourense (SMC),247,Goats & sheep,Ovis aries + Capra hircus,Capra hircus & Ovis aries,2003-2006,12328,,,49.91093117,45,"average weights of adults (no source given, probably estimates)",40.55,2250,,1384,87,0.06286127168,5.76,,,,Livestock,,,,,,,P-1-3,GSO,U,1,T,U,3,LAS18SMC,SMC,6,3,1,0,1,POP
,Lanski 2012,Aggteleki National Park,135,Red deer,Cervus elaphus,Cervus elaphus,Dec 2000-Feb 2005,82,,,0.61,,,240,,,81,26,,21.31147541,,,32.8,Wild,Antler,Calve in march/early april,,,NR,,A,HH,MYR,5,T+SNOW,MYR,5,LAI12ANP,ANP,4,4,,,,
,Lanski 2012,Aggteleki National Park,135,Roe deer,Capreolus capreolus,Capreolus capreolus,Dec 2000-Feb 2005,32,,,0.24,,,22.4,,,81,17,,13.93442623,,,22.8,Wild,None,Calve in march/early april,,,NR,,A,HH,MYR,5,T+SNOW,MYR,5,LAI12ANP,ANP,4,4,,,,
Wild boar adult + young combined,Lanski 2012,Aggteleki National Park,135,Wild boar,Sus scrofa,Sus scrofa,Dec 2000-Feb 2005,213,,,1.58,,,84.5,,,81,39,,31.96721311,,,35.6,Wild,Tusk,"Adults are dangerous prey. Intensively culled in autumn and winter, may provide carrion",,,NR,,A,HH,MYR,5,T+SNOW,MYR,5,LAI12ANP,ANP,4,4,,,,
,Lanski 2012,Aggteleki National Park,135,Mouflon,Ovis aries,Ovis aries musimon,Dec 2000-Feb 2005,5,,,0.04,,,34.2,,,81,6,,4.918032787,,,3.2,Wild,Refuge,,,,NR,,A,HH,MYR,5,T+SNOW,MYR,5,LAI12ANP,ANP,4,4,,,,
,Latham 2013,Athabasca River,21000,Moose,Alces alces,Alces alces,early 2006-early2008,3570,,,0.17,400 or 75,"Assumed averages for adults (400kg) and calves (75kg) in northeastern alberta (Lancia and Hodgdon 1984, Renecker and Hudson 1993, Bubenik 1998).",481,,,397,74,0.1863979849,,,,,Wild,Antler,,0.0115,"Algar, Calling, GoCan, Joli, Pelican Lake, Pelican River, Rock Island",,,E-8-2,AS,U,U,HOME + CLST,MYR,2,LAM13AAR,AAR,4,5,,,,POP
,Latham 2013,Athabasca River,21000,Woodland caribou,Rangifer tarandus caribou,Rangifer tarandus caribou,early 2006-early2008,861,,,0.041,140,"Assumed average for northeastern alberta (Lancia and Hodgdon 1984, Renecker and Hudson 1993, Bubenik 1998).",108,,,397,20,0.05037783375,,,,,Wild,Antler,,0.0115,"Algar, Calling, GoCan, Joli, Pelican Lake, Pelican River, Rock Island",,,E-13-2,AS,SWI,1,HOME + CLST,MYR,2,LAM13AAR,AAR,4,5,,,,POP
,Latham 2013,Athabasca River,21000,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,early 2006-early2008,16065,,,0.765,80 or 25,"Assumed averages for adults (80kg) and fawns (25kg) in northeastern alberta (Lancia and Hodgdon 1984, Renecker and Hudson 1993, Bubenik 1998).",75,,,397,162,0.4080604534,,,,,Wild,Antler,,0.0115,"Algar, Calling, GoCan, Joli, Pelican Lake, Pelican River, Rock Island",,,U,AS,U,U,HOME + CLST,MYR,2,LAM13AAR,AAR,4,5,,,,POP
,Latham 2013,Athabasca River,21000,Beaver,Castor canadensis,Castor canadensis,early 2006-early2008,32382,,,1.542,20,"Assumed average for northeastern alberta (Lancia and Hodgdon 1984, Renecker and Hudson 1993, Bubenik 1998).",9,,,397,190,0.4785894207,,,,,Wild,Refuge,,0.0115,"Algar, Calling, GoCan, Joli, Pelican Lake, Pelican River, Rock Island",,,P-1-2,AS,SWI,1,HOME + CLST,MYR,2,LAM13AAR,AAR,4,5,,,,POP
"Season in which availability is taken for wild ungulates is not explicitly stated, only that they were taken in March-April or April-May, in some places they mention spring but then in their analyses they divide things into ""winter (January–April), summer (May–August) and autumn (September–December)""",Mattioli 2004,SAF,98.7,Roe deer,Capreolus capreolus,Capreolus capreolus,"Jan 1996-Feb 2000, except 1997",1826,,,18.5,"Adults= 24kg, Fawns= varied","Fawn masses varied by month (see diet method notes), calculated by linear regression from 35 hunter harvested deer. Adult weight based on 160 individuals.",22.4,,,457,113,24.7,,18.8,16.8,,Wild,None,"can reach high densities in exploited forests and agricultural land ~ better able to exploit human landscapes. Form larger groups in open habitat. Considered difficult to kill in forested areas ""because of their tendency to live in small groups and their secretive and elusive nature."" Vulnerability of fawns is high in the first months of life then decreasesover time to adulthood",,,,,P-4-4,DS,MWI,4,U,MYR,4,MAI04MUG,MUG,3,3,UK,UK,UK,PACK
,Mattioli 2004,SAF,98.7,Wild boar,Sus scrofa,Sus scrofa,"Jan 1996-Feb 2000, except 1997",168,,,1.7,,,84.5,,,457,352,77.1,,70.1,,,Wild,Tusk,"""which are more vulnerable and at the same time provide more biomass than the average roe deer prey""",,,,,P-4-4,DS,MWI,4,U,MYR,4,MAI04MUG,MUG,3,3,UK,UK,UK,PACK
,Mattioli 2004,SAF,98.7,Red deer,Cervus elaphus,Cervus elaphus,"Jan 1996-Feb 2000, except 1997",188,,,1.9,,,240,,,457,43,9.3,,7.5,,,Wild,Antler,,,,,,P-4-4,ROAR,MAU,4,U,MYR,4,MAI04MUG,MUG,3,3,UK,UK,UK,PACK
,Mattioli 2004,VS,143.6,Roe deer,Capreolus capreolus,Capreolus capreolus,Mar 1997-Feb 2000,3016,,,21,"Adults= 24kg, Fawns= varied","Fawn masses varied by month (see diet method notes), calculated by linear regression from 35 hunter harvested deer. Adult weight based on 160 individuals.",22.4,,,191,97,50.7,,40.7,16,,Wild,None,"can reach high densities in exploited forests and agricultural land ~ better able to exploit human landscapes. Form larger groups in open habitat. Considered difficult to kill in forested areas ""because of their tendency to live in small groups and their secretive and elusive nature."" Vulnerability of fawns is high in the first months of life then decreasesover time to adulthood",,,,,P-3-3,DS,MWI,3,U,MYR,3,MAI04VLS,VLS,4,4,UK,UK,UK,PACK
,Mattioli 2004,VS,143.6,Wild boar,Sus scrofa,Sus scrofa,Mar 1997-Feb 2000,560,,,3.9,,,84.5,,,191,112,58.5,,48.4,,,Wild,Tusk,"""which are more vulnerable and at the same time provide more biomass than the average roe deer prey""",,,,,P-3-3,DS,MWI,3,U,MYR,3,MAI04VLS,VLS,4,4,UK,UK,UK,PACK
Total ungulates - known roe deer and wild boar. Density is Red deer (0.7/km^2) and Fallow deer (1.5/km^2),Mattioli 2004,VS,143.6,Red deer + Fallow deer,,Cervus elaphus and Dama dama,Mar 1997-Feb 2000,316,,,2.2,,,204.195,,,191,3,1.5,,1.2,,,Wild,Antler,,,,,,P-3-3,ROAR + (DS+CNT),MAU + MWI,3,U,MYR,3,MAI04VLS,VLS,4,4,UK,UK,UK,PACK
,Mattioli 2004,PM,179.6,Roe deer,Capreolus capreolus,Capreolus capreolus,"Mar 1994-Feb 2000, except 1997 and 1998",2945,,,16.4,"Adults= 24kg, Fawns= varied","Fawn masses varied by month (see diet method notes), calculated by linear regression from 35 hunter harvested deer. Adult weight based on 160 individuals.",22.4,,,1301,203,15.6,,10.8,14.4,,Wild,None,"can reach high densities in exploited forests and agricultural land ~ better able to exploit human landscapes. Form larger groups in open habitat. Considered difficult to kill in forested areas ""because of their tendency to live in small groups and their secretive and elusive nature."" Vulnerability of fawns is high in the first months of life then decreasesover time to adulthood",,,,,P-6-6,DS,MWI,6,U,MYR,6,MAI04PRA,PRA,3,3,UK,UK,UK,PACK
,Mattioli 2004,PM,179.6,Wild boar,Sus scrofa,Sus scrofa,"Mar 1994-Feb 2000, except 1997 and 1998",2245,,,12.5,,,84.5,,,1301,1116,85.8,,79.2,,,Wild,Tusk,"""which are more vulnerable and at the same time provide more biomass than the average roe deer prey""",,,,,P-6-6,DS,MWI,6,U,MYR,6,MAI04PRA,PRA,3,3,UK,UK,UK,PACK
,Mattioli 2004,PM,179.6,Fallow deer,Dama dama,Dama dama,"Mar 1994-Feb 2000, except 1997 and 1998",611,,,3.4,,,56.2,,,1301,38,2.9,,2.2,,,Wild,Antler,,,,,,P-6-6,DS + CNT,MWI,6,U,MYR,6,MAI04PRA,PRA,3,3,UK,UK,UK,PACK
,Mattioli 2004,VT,385.9,Roe deer,Capreolus capreolus,Capreolus capreolus,Mar 1998-Feb 2001,14857,,,38.5,"Adults= 24kg, Fawns= varied","Fawn masses varied by month (see diet method notes), calculated by linear regression from 35 hunter harvested deer. Adult weight based on 160 individuals.",22.4,,,286,174,60.8,,53.4,16,,Wild,None,"can reach high densities in exploited forests and agricultural land ~ better able to exploit human landscapes. Form larger groups in open habitat. Considered difficult to kill in forested areas ""because of their tendency to live in small groups and their secretive and elusive nature."" Vulnerability of fawns is high in the first months of life then decreasesover time to adulthood",,,,,P-3-3,DS,MWI,3,U,MYR,3,MAI04VAL,VAL,3,3,UK,UK,UK,POP
