Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Period,Num_Ind,Ratio_Ind_Avail,Prop_Ind_Avail,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Scat_n_Tot,Scat_n_Prey,Abs_FO,Rel_FO,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,Pack_Name,Timepoint,A_C_Code,Avail_Code,Avail_Season,n_Avail_Points,Cons_Code,Cons_Season,n_Cons_Points,Study_Code,Area_Code,n_Prey_Species,Wild_Ung_Avail_n,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n,Pop_Scale
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220,Mountain goat,Oreamnos americanus,Oreamnos americanus,Winter 1988/89 and 1989/90,81,,,0.3681818182,70,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter. Average of each packs,71.3,,,410,,,,,3.6,0.002291534055,Wild,,,Low habitat overlap with wolves. Herd size of 5. Often at higher elevations than wolves typically visit. Escape on to difficult terrain.,,Spray and Baker,,U,AS,WI,U,SNOW,MWI,2,HUD93BVB,BVB,,,,,,POP
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220,Elk,Cervus elaphus,Cervus elaphus,Summer 1988-1990,374,,,1.7,177.6194733,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter. Average of each packs,240,,,242,,,,,535.2,0.746860173,Wild,,,"""rarely defend themselves actively (Carbyn 1974), but frequently seek refuge in deep water"". May be more detectable to wolves since they are larger, in larger herds, and more frequently occupy more open areas. Flee from wolves.",,Spray and Baker,,U,AS,SU,U,HOME,MSU,2,HUD93BVB,BVB,,,,,,POP
Includes both white-tailed and mule deer,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220,Deer,Odocoileus hemionus and Odocoileus virginianus,Odocoileus hemionus and Odocoileus virginianus,Summer 1988-1990,162,,,0.7363636364,46.9105424,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter. Average of each packs,79.4,,,242,,,,,42.6,0.05944739045,Wild,,,"May be less detectable to wolves than elk since they are smaller, in smaller herds, and more frequently occupy more wooded and less open areas . Flee from wolves.",,Spray and Baker,,U,U,SU,U,HOME,MSU,2,HUD93BVB,BVB,,,,,,POP
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220,Moose,Alces alces,Alces alces,Summer 1988-1990,27,,,0.1227272727,285.2166667,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter. Average of each packs,481,,,242,,,,,64.2,0.08958972928,Wild,,,"""However, known prey defensive behaviour suggests that moose are the only species in the BNP system that pose a substantial danger. Moose often defend themselves against wolves by means of foreleg kicks"". Do not always flee",,Spray and Baker,,U,U,SU,U,HOME,MSU,2,HUD93BVB,BVB,,,,,,POP
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220,Bighorn sheep,Ovis canadensis,Ovis canadensis,Summer 1988-1990,224,,,1.018181818,70,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter. Average of each packs,74.6,,,242,,,,,8.7,0.01214066425,Wild,,,Often at higher elevations than wolves typically visit. Escape on to difficult terrain.,,Spray and Baker,,U,AS,WI,U,HOME,MSU,2,HUD93BVB,BVB,,,,,,POP
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220,Mountain goat,Oreamnos americanus,Oreamnos americanus,Summer 1988-1990,81,,,0.3681818182,70,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter. Average of each packs,71.3,,,242,,,,,13,0.01814122244,Wild,,,Often at higher elevations than wolves typically visit. Escape on to difficult terrain.,,Spray and Baker,,U,AS,WI,U,HOME,MSU,2,HUD93BVB,BVB,,,,,,POP
,Imbert 2016,Liguria Region,5343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMT16LGR,LGR,,,,,,
,Imbert 2016,Liguria Region,5343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMT16LGR,LGR,,,,,,
haven't entered yet cuz need to contact for clearer availability data,Imbert 2016,Liguria Region,5343,,,,,1838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMT16LGR,LGR,,,,,,
,Imbert 2016,Liguria Region,5343,,,,,1545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMT16LGR,LGR,,,,,,
,Imbert 2016,Liguria Region,5343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMT16LGR,LGR,,,,,,
,Imbert 2016,Liguria Region,5343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMT16LGR,LGR,,,,,,
,Imbert 2016,Liguria Region,5343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMT16LGR,LGR,,,,,,
,Imbert 2016,Liguria Region,5343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMT16LGR,LGR,,,,,,
Period it technically over a year but less than 1.5 years so RB decided to enter it as 1 year in n_C_Points,Janeiro-Otero 2022,Serra do Cando,54.58,Roe deer,Capreolus capreolus,Capreolus capreolus,Dec 2017-Mar 2019,4,,,0.07,24,Average adult (source unknown),22.4,1.68,0.00012455427,47,0,0,,,0,0,Wild,,,,,,,A,HH,U,1,GRID + T,SYR,1,JAO22SCO,SCO,7,,UK,UK,UK,PACK
,Janeiro-Otero 2022,Serra do Cando,54.58,Wild boar,Sus scrofa,Sus scrofa,Dec 2017-Mar 2019,35,,,0.64,67,Average adult (source unknown),84.5,42.88,0.003179099462,47,10,21.28,,,9.75,0.0774,Wild,,,,,,,A,HH,U,1,GRID + T,SYR,1,JAO22SCO,SCO,7,,UK,UK,UK,PACK
,Janeiro-Otero 2022,Serra do Cando,54.58,Galician feral horses,Equus ferus atlanticus,Equus caballus,Dec 2017-Mar 2019,498,,,9.124221326,300,Average adult (source unknown),400,2737.266398,0.2029394154,47,38,85.65,,,107.88,0.8422,Feral,,,,,,,,E,U,1,GRID + T,SYR,1,JAO22SCO,SCO,7,,UK,UK,UK,PACK
,Janeiro-Otero 2022,Serra do Cando,54.58,Goat,Capra hircus,Capra hircus,Dec 2017-Mar 2019,1,,,0.02,28.5,Average adult (source unknown),46.9,0.57,0.00004225948445,47,0,0,,,0,0,Livestock,,,Left in barns overnight,,,,E-8-1,GSO,U,1,GRID + T,SYR,1,JAO22SCO,SCO,7,,UK,UK,UK,PACK
,Janeiro-Otero 2022,Serra do Cando,54.58,Cattle,Bos taurus,Bos taurus,Dec 2017-Mar 2019,928,,,17,600,Average adult (source unknown),613,10200,0.7562223533,47,1,2.13,,,5.24,0.0416,Livestock,,,Left unattended for long periods to graze freely,,,,A,GSO,U,1,GRID + T,SYR,1,JAO22SCO,SCO,7,,UK,UK,UK,PACK
,Janeiro-Otero 2022,Serra do Cando,54.58,Sheep,Ovis aries,Ovis aries,Dec 2017-Mar 2019,11,,,0.2,28.5,Average adult (source unknown),34.2,5.7,0.0004225948445,47,0,0,,,0,0,Livestock,,,Left in barns overnight,,,,E-8-1,GSO,U,1,GRID + T,SYR,1,JAO22SCO,SCO,7,,UK,UK,UK,PACK
,Janeiro-Otero 2022,Serra do Cando,54.58,Pig,Sus domestica,Sus scrofa scrofa,Dec 2017-Mar 2019,109,,,2,250,Average adult (source unknown),84.5,500,0.0370697232,47,0,0,,,0,0,Livestock,,,"Live ones are inaccessible, but carcasses dumped are accessible ",,,,E-8-1,GSO,U,1,GRID + T,SYR,1,JAO22SCO,SCO,7,,UK,UK,UK,PACK
Period it technically over a year but less than 1.5 years so RB decided to enter it as 1 year in n_C_Points,Janeiro-Otero 2022,Serra do Candán,106.83,Roe deer,Capreolus capreolus,Capreolus capreolus,Dec 2017-Mar 2019,4,,,0.04,24,Average adult (source unknown),22.4,0.96,0.00002467131258,49,7,14.29,,,4.42,0.0341,Wild,,,,,,,A,HH,U,1,GRID + T,SYR,1,JAO22SCN,SCN,6,,UK,UK,UK,PACK
,Janeiro-Otero 2022,Serra do Candán,106.83,Wild boar,Sus scrofa,Sus scrofa,Dec 2017-Mar 2019,52,,,0.49,67,Average adult (source unknown),84.5,32.83,0.0008437074918,49,13,26.53,,,12.68,0.0977,Wild,,,,,,,A,HH,U,1,GRID + T,SYR,1,JAO22SCN,SCN,6,,UK,UK,UK,PACK
,Janeiro-Otero 2022,Serra do Candán,106.83,Goat,Capra hircus,Capra hircus,Dec 2017-Mar 2019,11,,,0.1,28.5,Average adult (source unknown),46.9,2.85,0.00007324295923,49,3,6.12,,,2,0.0154,Livestock,,,Left in barns overnight,,,,E-8-1,GSO,U,1,GRID + T,SYR,1,JAO22SCN,SCN,6,,UK,UK,UK,PACK
,Janeiro-Otero 2022,Serra do Candán,106.83,Cattle,Bos taurus,Bos taurus,Dec 2017-Mar 2019,5641,,,52.8,600,Average adult (source unknown),613,31680,0.8141533152,49,19,38.78,,,99.54,0.7674,Livestock,,,Left unattended for long periods to graze freely,,,,A,GSO,U,1,GRID + T,SYR,1,JAO22SCN,SCN,6,,UK,UK,UK,PACK
,Janeiro-Otero 2022,Serra do Candán,106.83,Sheep,Ovis aries,Ovis aries,Dec 2017-Mar 2019,75,,,0.7,28.5,Average adult (source unknown),34.2,19.95,0.0005127007146,49,4,8.16,,,2.67,0.026,Livestock,,,Left in barns overnight,,,,E-8-1,GSO,U,1,GRID + T,SYR,1,JAO22SCN,SCN,6,,UK,UK,UK,PACK
,Janeiro-Otero 2022,Serra do Candán,106.83,Pig,Sus domestica,Sus scrofa scrofa,Dec 2017-Mar 2019,3066,,,28.7,250,Average adult (source unknown),84.5,7175,0.1843923623,49,2,4.08,,,4.88,0.376,Livestock,,,"Live ones are inaccessible, but carcasses dumped are accessible ",,,,E-8-1,GSO,U,1,GRID + T,SYR,1,JAO22SCN,SCN,6,,UK,UK,UK,PACK
Period it technically over a year but less than 1.5 years so RB decided to enter it as 1 year in n_C_Points,Janeiro-Otero 2022,Estacas,14.05,Roe deer,Capreolus capreolus,Capreolus capreolus,Dec 2017-Mar 2019,1,,,0.05,24,Average adult (source unknown),22.4,1.2,0.0002113787554,24,0,0,,,0,0,Wild,,,,,,,A,HH,U,1,GRID + T,SYR,1,JAO22EST,EST,7,,UK,UK,UK,PACK
,Janeiro-Otero 2022,Estacas,14.05,Wild boar,Sus scrofa,Sus scrofa,Dec 2017-Mar 2019,9,,,0.64,67,Average adult (source unknown),84.5,42.88,0.007553267525,24,4,16.67,,,3.9,0.0757,Wild,,,,,,,A,HH,U,1,GRID + T,SYR,1,JAO22EST,EST,7,,UK,UK,UK,PACK
2017 there were 25 horses and then 11 additional horses were relocated to the study area in 2018,Janeiro-Otero 2022,Estacas,14.05,Galician feral horse,Equus ferus atlanticus,Equus caballus,Dec 2017-Mar 2019,36,,,2.56227758,300,Average adult (source unknown),400,768.683274,0.1354027614,24,14,58.33,,,39.75,0.7712,Feral,,,,,,,A,FARM,U,1,GRID + T,SYR,1,JAO22EST,EST,7,,UK,UK,UK,PACK
,Janeiro-Otero 2022,Estacas,14.05,Goat,Capra hircus,Capra hircus,Dec 2017-Mar 2019,1,,,0.1,28.5,Average adult (source unknown),46.9,2.85,0.000502024544,24,2,8.33,,,1.33,0.0259,Livestock,,,Left in barns overnight,,,,E-8-1,GSO,U,1,GRID + T,SYR,1,JAO22EST,EST,7,,UK,UK,UK,PACK
,Janeiro-Otero 2022,Estacas,14.05,Cattle,Bos taurus,Bos taurus,Dec 2017-Mar 2019,112,,,8,600,Average adult (source unknown),613,4800,0.8455150214,24,1,4.17,,,5.24,0.1017,Livestock,,,Left unattended for long periods to graze freely,,,,A,GSO,U,1,GRID + T,SYR,1,JAO22EST,EST,7,,UK,UK,UK,PACK
,Janeiro-Otero 2022,Estacas,14.05,Sheep,Ovis aries,Ovis aries,Dec 2017-Mar 2019,6,,,0.4,28.5,Average adult (source unknown),34.2,11.4,0.002008098176,24,0,0,,,0,0,Livestock,,,Left in barns overnight,,,,E-8-1,GSO,U,1,GRID + T,SYR,1,JAO22EST,EST,7,,UK,UK,UK,PACK
,Janeiro-Otero 2022,Estacas,14.05,Pig,Sus domestica,Sus scrofa scrofa,Dec 2017-Mar 2019,3,,,0.2,250,Average adult (source unknown),84.5,50,0.00880744814,24,0,0,,,0,0,Livestock,,,"Live ones are inaccessible, but carcasses dumped are accessible ",,,,E-8-1,GSO,U,1,GRID + T,SYR,1,JAO22EST,EST,7,,UK,UK,UK,PACK
"Rel FO only considers wild unfulates, Orig Prop Biomass considers all prey",Jędrzejewski 2012,1. Skaliskie Forest,200,Moose,Alces alces,Alces alces,1999-2004,,,0.02,,>80,Median body mass of moose killed by wolves,481,,,40,,,0,,,0,Wild,,,Large cervid,0.009,,,U,MIX,U,U,SNOW+T,MYR,6,JEI12SLF,SLF,4,,1,0,1,POP
,Jędrzejewski 2012,1. Skaliskie Forest,200,Red deer,Cervus elaphus,Cervus elaphus,1999-2004,,,0.15,,62.5,Median body mass of red deer killed by wolves,240,,,40,,,0,,,0,Wild,,,"""red deer was shown to be the optimal size prey for typical central European packs of 4–6 wolves (Jedrzejewski et al. 2002)"". Large cervid",0.009,,,U,MIX,U,U,SNOW+T,MYR,6,JEI12SLF,SLF,4,,1,0,1,POP
,Jędrzejewski 2012,1. Skaliskie Forest,200,Roe deer,Capreolus capreolus,Capreolus capreolus,1999-2004,,,0.59,,20,Median body mass of roe deer killed by wolves,22.4,,,40,,,48.6,,,0.429,Wild,,,,0.009,,,U,MIX,U,U,SNOW+T,MYR,6,JEI12SLF,SLF,4,,1,0,1,POP
,Jędrzejewski 2012,1. Skaliskie Forest,200,Wild boar,Sus scrofa,Sus scrofa,1999-2004,,,0.24,,12.5,Median body mass of wild boar killed by wolves,84.5,,,40,,,51.4,,,0.312,Wild,,,,0.009,,,U,MIX,U,U,SNOW+T,MYR,6,JEI12SLF,SLF,4,,1,0,1,POP
,Jędrzejewski 2012,2.  Rominta Forest,170,Moose,Alces alces,Alces alces,1999-2004,,,0.05,,>80,Median body mass of moose killed by wolves,481,,,84,,,0,,,0,Wild,,,Large cervid,0.009,,,U,MIX,U,U,SNOW+T,MYR,6,JEI12RMF,RMF,4,,1,0,1,POP
,Jędrzejewski 2012,2.  Rominta Forest,170,Red deer,Cervus elaphus,Cervus elaphus,1999-2004,,,0.37,,62.5,Median body mass of red deer killed by wolves,240,,,84,,,16.5,,,0.086,Wild,,,"""red deer was shown to be the optimal size prey for typical central European packs of 4–6 wolves (Jedrzejewski et al. 2002)"". Large cervid",0.009,,,U,MIX,U,U,SNOW+T,MYR,6,JEI12RMF,RMF,4,,1,0,1,POP
,Jędrzejewski 2012,2.  Rominta Forest,170,Roe deer,Capreolus capreolus,Capreolus capreolus,1999-2004,,,0.3,,20,Median body mass of roe deer killed by wolves,22.4,,,84,,,57.5,,,0.275,Wild,,,,0.009,,,U,MIX,U,U,SNOW+T,MYR,6,JEI12RMF,RMF,4,,1,0,1,POP
,Jędrzejewski 2012,2.  Rominta Forest,170,Wild boar,Sus scrofa,Sus scrofa,1999-2004,,,0.28,,12.5,Median body mass of wild boar killed by wolves,84.5,,,84,,,26,,,0.105,Wild,,,,0.009,,,U,MIX,U,U,SNOW+T,MYR,6,JEI12RMF,RMF,4,,1,0,1,POP
,Jędrzejewski 2012,3.  Pisz Forest,1350,Moose,Alces alces,Alces alces,1998-2003,,,0.003,,>80,Median body mass of moose killed by wolves,481,,,72,,,0,,,0,Wild,,,Large cervid,0.01,,,U,MIX,U,U,SNOW+T,MYR,6,JEI12PZF,PZF,4,,1,0,1,POP
,Jędrzejewski 2012,3.  Pisz Forest,1350,Red deer,Cervus elaphus,Cervus elaphus,1998-2003,,,0.348,,62.5,Median body mass of red deer killed by wolves,240,,,72,,,8,,,0.062,Wild,,,"""red deer was shown to be the optimal size prey for typical central European packs of 4–6 wolves (Jedrzejewski et al. 2002)"". Large cervid",0.01,,,U,MIX,U,U,SNOW+T,MYR,6,JEI12PZF,PZF,4,,1,0,1,POP
,Jędrzejewski 2012,3.  Pisz Forest,1350,Roe deer,Capreolus capreolus,Capreolus capreolus,1998-2003,,,0.532,,20,Median body mass of roe deer killed by wolves,22.4,,,72,,,83,,,0.604,Wild,,,,0.01,,,U,MIX,U,U,SNOW+T,MYR,6,JEI12PZF,PZF,4,,1,0,1,POP
,Jędrzejewski 2012,3.  Pisz Forest,1350,Wild boar,Sus scrofa,Sus scrofa,1998-2003,,,0.117,,12.5,Median body mass of wild boar killed by wolves,84.5,,,72,,,9,,,0.068,Wild,,,,0.01,,,U,MIX,U,U,SNOW+T,MYR,6,JEI12PZF,PZF,4,,1,0,1,POP
prop individuals was reported as <0.001,Jędrzejewski 2012,4. Napiwoda-Ramuki Forest,1940,Moose,Alces alces,Alces alces,1998-2003,,,0.0009,,>80,Median body mass of moose killed by wolves,481,,,63,,,0,,,0,Wild,,,Large cervid,0.01,,,U,MIX,U,U,SNOW+T,MYR,6,JEI12NRF,NRF,4,,1,0,1,POP
,Jędrzejewski 2012,4. Napiwoda-Ramuki Forest,1940,Red deer,Cervus elaphus,Cervus elaphus,1998-2003,,,0.269,,62.5,Median body mass of red deer killed by wolves,240,,,63,,,4,,,0.013,Wild,,,"""red deer was shown to be the optimal size prey for typical central European packs of 4–6 wolves (Jedrzejewski et al. 2002)"". Large cervid",0.01,,,U,MIX,U,U,SNOW+T,MYR,6,JEI12NRF,NRF,4,,1,0,1,POP
,Jędrzejewski 2012,4. Napiwoda-Ramuki Forest,1940,Roe deer,Capreolus capreolus,Capreolus capreolus,1998-2003,,,0.553,,20,Median body mass of roe deer killed by wolves,22.4,,,63,,,75,,,0.38,Wild,,,,0.01,,,U,MIX,U,U,SNOW+T,MYR,6,JEI12NRF,NRF,4,,1,0,1,POP
,Jędrzejewski 2012,4. Napiwoda-Ramuki Forest,1940,Wild boar,Sus scrofa,Sus scrofa,1998-2003,,,0.178,,12.5,Median body mass of wild boar killed by wolves,84.5,,,63,,,21,,,0.094,Wild,,,,0.01,,,U,MIX,U,U,SNOW+T,MYR,6,JEI12NRF,NRF,4,,1,0,1,POP
numbers are weighted means of study 5a and 5b,Jędrzejewski 2012,5.  Augustów Forest,1350,Moose,Alces alces,Alces alces,2000-2006,,,0.06586058981,,>80,Median body mass of moose killed by wolves,481,,,373,,,0,,,0,Wild,,,Large cervid,0.024,,,U,MIX,U,U,SNOW+T,MYR,7,JEI12AGF,AGF,4,,1,0,1,POP
numbers are weighted means of study 5a and 5b,Jędrzejewski 2012,5.  Augustów Forest,1350,Red deer,Cervus elaphus,Cervus elaphus,2000-2006,,,0.2924289544,,62.5,Median body mass of red deer killed by wolves,240,,,373,,,35.29758713,,,0.3021045576,Wild,,,"""red deer was shown to be the optimal size prey for typical central European packs of 4–6 wolves (Jedrzejewski et al. 2002)"". Large cervid",0.024,,,U,MIX,U,U,SNOW+T,MYR,7,JEI12AGF,AGF,4,,1,0,1,POP
numbers are weighted means of study 5a and 5b,Jędrzejewski 2012,5.  Augustów Forest,1350,Roe deer,Capreolus capreolus,Capreolus capreolus,2000-2006,,,0.4913726542,,20,Median body mass of roe deer killed by wolves,22.4,,,373,,,41.24128686,,,0.2372734584,Wild,,,,0.024,,,U,MIX,U,U,SNOW+T,MYR,7,JEI12AGF,AGF,4,,1,0,1,POP
numbers are weighted means of study 5a and 5b,Jędrzejewski 2012,5.  Augustów Forest,1350,Wild boar,Sus scrofa,Sus scrofa,2000-2006,,,0.1551635389,,12.5,Median body mass of wild boar killed by wolves,84.5,,,373,,,23.46112601,,,0.1405013405,Wild,,,,0.024,,,U,MIX,U,U,SNOW+T,MYR,7,JEI12AGF,AGF,4,,1,0,1,POP
,Jędrzejewski 2012,6. Biebrza National Park,640,Moose,Alces alces,Alces alces,2001-2004,,,0.235,,>80,Median body mass of moose killed by wolves,481,,,48,,,23.7,,,0.148,Wild,,,Large cervid,0.02,,,U,MIX,U,U,SNOW+T,MYR,4,JEI12BNP,BNP,4,,1,0,1,POP
,Jędrzejewski 2012,6. Biebrza National Park,640,Red deer,Cervus elaphus,Cervus elaphus,2001-2004,,,0.203,,62.5,Median body mass of red deer killed by wolves,240,,,48,,,23.7,,,0.102,Wild,,,"""red deer was shown to be the optimal size prey for typical central European packs of 4–6 wolves (Jedrzejewski et al. 2002)"". Large cervid",0.02,,,U,MIX,U,U,SNOW+T,MYR,4,JEI12BNP,BNP,4,,1,0,1,POP
,Jędrzejewski 2012,6. Biebrza National Park,640,Roe deer,Capreolus capreolus,Capreolus capreolus,2001-2004,,,0.375,,20,Median body mass of roe deer killed by wolves,22.4,,,48,,,52.6,,,0.419,Wild,,,,0.02,,,U,MIX,U,U,SNOW+T,MYR,4,JEI12BNP,BNP,4,,1,0,1,POP
,Jędrzejewski 2012,6. Biebrza National Park,640,Wild boar,Sus scrofa,Sus scrofa,2001-2004,,,0.187,,12.5,Median body mass of wild boar killed by wolves,84.5,,,48,,,0,,,0,Wild,,,,0.02,,,U,MIX,U,U,SNOW+T,MYR,4,JEI12BNP,BNP,4,,1,0,1,POP
,Jędrzejewski 2012,7.  Knyszyn Forest,1500,Moose,Alces alces,Alces alces,2000-2002,,,0.016,,>80,Median body mass of moose killed by wolves,481,,,53,,,0,,,0,Wild,,,Large cervid,0.026,,,U,MIX,U,U,SNOW+T,MYR,3,JEI12KSF,KSF,5,,1,0,1,POP
,Jędrzejewski 2012,7.  Knyszyn Forest,1500,Red deer,Cervus elaphus,Cervus elaphus,2000-2002,,,0.216,,62.5,Median body mass of red deer killed by wolves,240,,,53,,,25.5,,,0.159,Wild,,,"""red deer was shown to be the optimal size prey for typical central European packs of 4–6 wolves (Jedrzejewski et al. 2002)"". Large cervid",0.026,,,U,MIX,U,U,SNOW+T,MYR,3,JEI12KSF,KSF,5,,1,0,1,POP
,Jędrzejewski 2012,7.  Knyszyn Forest,1500,Roe deer,Capreolus capreolus,Capreolus capreolus,2000-2002,,,0.538,,20,Median body mass of roe deer killed by wolves,22.4,,,53,,,41.8,,,0.306,Wild,,,,0.026,,,U,MIX,U,U,SNOW+T,MYR,3,JEI12KSF,KSF,5,,1,0,1,POP
,Jędrzejewski 2012,7.  Knyszyn Forest,1500,Wild boar,Sus scrofa,Sus scrofa,2000-2002,,,0.227,,12.5,Median body mass of wild boar killed by wolves,84.5,,,53,,,32.7,,,0.156,Wild,,,,0.026,,,U,MIX,U,U,SNOW+T,MYR,3,JEI12KSF,KSF,5,,1,0,1,POP
,Jędrzejewski 2012,7.  Knyszyn Forest,1500,Bison,Bison bonasus,Bison bonasus,2000-2002,,,0.003,,,,673,,,53,,,0,,,0,Wild,,,,0.026,,,U,MIX,U,U,SNOW+T,MYR,3,JEI12KSF,KSF,5,,1,0,1,POP
